disease,year,label_ha,label_hsda,BC_F,BC_M,BC_T,HA_F,HA_M,HA_T,HSDA_F,HSDA_M,HSDA_T
Flower Deafness,1994,Interior,East Kootenay,229,187,416,59,52,111,6,22,12
Flower Deafness,1994,Interior,Kootenay Boundary,229,187,416,59,52,111,4,5,10
Flower Deafness,1994,Interior,Okanagan,229,187,416,59,52,111,24,6,25
Flower Deafness,1994,Interior,Thompson Cariboo Shuswap,229,187,416,59,52,111,25,19,25
Flower Deafness,1994,Fraser,Fraser East,229,187,416,42,17,59,19,5,9
Flower Deafness,1994,Fraser,Fraser North,229,187,416,42,17,59,5,5,19
Flower Deafness,1994,Fraser,Fraser South,229,187,416,42,17,59,18,7,13
Flower Deafness,1994,Vancouver Coastal,Richmond,229,187,416,32,39,71,8,7,10
Flower Deafness,1994,Vancouver Coastal,Vancouver,229,187,416,32,39,71,17,24,20
Flower Deafness,1994,Vancouver Coastal,North Shore/Coast Garibaldi,229,187,416,32,39,71,7,8,24
Flower Deafness,1994,Vancouver Island,South Vancouver Island,229,187,416,56,39,95,11,14,12
Flower Deafness,1994,Vancouver Island,Central Vancouver Island,229,187,416,56,39,95,23,7,18
Flower Deafness,1994,Vancouver Island,North Vancouver Island,229,187,416,56,39,95,22,18,22
Flower Deafness,1994,Northern,Northwest,229,187,416,40,40,80,9,19,24
Flower Deafness,1994,Northern,Northern Interior,229,187,416,40,40,80,19,9,16
Flower Deafness,1994,Northern,Northeast,229,187,416,40,40,80,12,12,13
Flower Deafness,1995,Interior,East Kootenay,194,181,375,45,41,86,6,6,16
Flower Deafness,1995,Interior,Kootenay Boundary,194,181,375,45,41,86,11,6,6
Flower Deafness,1995,Interior,Okanagan,194,181,375,45,41,86,14,15,7
Flower Deafness,1995,Interior,Thompson Cariboo Shuswap,194,181,375,45,41,86,14,14,13
Flower Deafness,1995,Fraser,Fraser East,194,181,375,32,35,67,5,15,14
Flower Deafness,1995,Fraser,Fraser North,194,181,375,32,35,67,13,11,9
Flower Deafness,1995,Fraser,Fraser South,194,181,375,32,35,67,14,9,5
Flower Deafness,1995,Vancouver Coastal,Richmond,194,181,375,33,43,76,16,15,14
Flower Deafness,1995,Vancouver Coastal,Vancouver,194,181,375,33,43,76,12,14,10
Flower Deafness,1995,Vancouver Coastal,North Shore/Coast Garibaldi,194,181,375,33,43,76,5,14,5
Flower Deafness,1995,Vancouver Island,South Vancouver Island,194,181,375,44,35,79,16,13,14
Flower Deafness,1995,Vancouver Island,Central Vancouver Island,194,181,375,44,35,79,14,14,16
Flower Deafness,1995,Vancouver Island,North Vancouver Island,194,181,375,44,35,79,14,8,10
Flower Deafness,1995,Northern,Northwest,194,181,375,40,27,67,15,6,15
Flower Deafness,1995,Northern,Northern Interior,194,181,375,40,27,67,10,9,16
Flower Deafness,1995,Northern,Northeast,194,181,375,40,27,67,15,12,5
Flower Deafness,1996,Interior,East Kootenay,260,228,488,73,73,146,19,19,10
Flower Deafness,1996,Interior,Kootenay Boundary,260,228,488,73,73,146,6,21,21
Flower Deafness,1996,Interior,Okanagan,260,228,488,73,73,146,23,13,6
Flower Deafness,1996,Interior,Thompson Cariboo Shuswap,260,228,488,73,73,146,25,20,22
Flower Deafness,1996,Fraser,Fraser East,260,228,488,46,50,96,11,22,14
Flower Deafness,1996,Fraser,Fraser North,260,228,488,46,50,96,24,8,12
Flower Deafness,1996,Fraser,Fraser South,260,228,488,46,50,96,11,20,6
Flower Deafness,1996,Vancouver Coastal,Richmond,260,228,488,50,48,98,16,18,17
Flower Deafness,1996,Vancouver Coastal,Vancouver,260,228,488,50,48,98,14,10,13
Flower Deafness,1996,Vancouver Coastal,North Shore/Coast Garibaldi,260,228,488,50,48,98,20,20,24
Flower Deafness,1996,Vancouver Island,South Vancouver Island,260,228,488,47,32,79,16,12,12
Flower Deafness,1996,Vancouver Island,Central Vancouver Island,260,228,488,47,32,79,16,5,10
Flower Deafness,1996,Vancouver Island,North Vancouver Island,260,228,488,47,32,79,15,15,9
Flower Deafness,1996,Northern,Northwest,260,228,488,44,25,69,15,5,20
Flower Deafness,1996,Northern,Northern Interior,260,228,488,44,25,69,11,10,5
Flower Deafness,1996,Northern,Northeast,260,228,488,44,25,69,18,10,13
Flower Deafness,1997,Interior,East Kootenay,187,214,401,48,59,107,7,13,14
Flower Deafness,1997,Interior,Kootenay Boundary,187,214,401,48,59,107,7,15,16
Flower Deafness,1997,Interior,Okanagan,187,214,401,48,59,107,13,13,4
Flower Deafness,1997,Interior,Thompson Cariboo Shuswap,187,214,401,48,59,107,21,18,23
Flower Deafness,1997,Fraser,Fraser East,187,214,401,46,51,97,20,23,10
Flower Deafness,1997,Fraser,Fraser North,187,214,401,46,51,97,22,20,5
Flower Deafness,1997,Fraser,Fraser South,187,214,401,46,51,97,4,8,13
Flower Deafness,1997,Vancouver Coastal,Richmond,187,214,401,20,41,61,3,8,13
Flower Deafness,1997,Vancouver Coastal,Vancouver,187,214,401,20,41,61,8,15,16
Flower Deafness,1997,Vancouver Coastal,North Shore/Coast Garibaldi,187,214,401,20,41,61,9,18,13
Flower Deafness,1997,Vancouver Island,South Vancouver Island,187,214,401,42,24,66,12,16,21
Flower Deafness,1997,Vancouver Island,Central Vancouver Island,187,214,401,42,24,66,16,4,17
Flower Deafness,1997,Vancouver Island,North Vancouver Island,187,214,401,42,24,66,14,4,11
Flower Deafness,1997,Northern,Northwest,187,214,401,31,39,70,3,6,4
Flower Deafness,1997,Northern,Northern Interior,187,214,401,31,39,70,9,22,15
Flower Deafness,1997,Northern,Northeast,187,214,401,31,39,70,19,11,9
Flower Deafness,1998,Interior,East Kootenay,115,171,286,30,42,72,7,10,4
Flower Deafness,1998,Interior,Kootenay Boundary,115,171,286,30,42,72,8,4,14
Flower Deafness,1998,Interior,Okanagan,115,171,286,30,42,72,2,13,19
Flower Deafness,1998,Interior,Thompson Cariboo Shuswap,115,171,286,30,42,72,13,15,19
Flower Deafness,1998,Fraser,Fraser East,115,171,286,19,37,56,9,17,8
Flower Deafness,1998,Fraser,Fraser North,115,171,286,19,37,56,8,2,10
Flower Deafness,1998,Fraser,Fraser South,115,171,286,19,37,56,2,18,16
Flower Deafness,1998,Vancouver Coastal,Richmond,115,171,286,25,20,45,3,14,13
Flower Deafness,1998,Vancouver Coastal,Vancouver,115,171,286,25,20,45,13,3,9
Flower Deafness,1998,Vancouver Coastal,North Shore/Coast Garibaldi,115,171,286,25,20,45,9,3,13
Flower Deafness,1998,Vancouver Island,South Vancouver Island,115,171,286,16,34,50,3,17,3
Flower Deafness,1998,Vancouver Island,Central Vancouver Island,115,171,286,16,34,50,4,14,4
Flower Deafness,1998,Vancouver Island,North Vancouver Island,115,171,286,16,34,50,9,3,3
Flower Deafness,1998,Northern,Northwest,115,171,286,25,38,63,11,11,5
Flower Deafness,1998,Northern,Northern Interior,115,171,286,25,38,63,10,9,6
Flower Deafness,1998,Northern,Northeast,115,171,286,25,38,63,4,18,18
Flower Deafness,1999,Interior,East Kootenay,154,181,335,36,50,86,8,7,11
Flower Deafness,1999,Interior,Kootenay Boundary,154,181,335,36,50,86,13,12,6
Flower Deafness,1999,Interior,Okanagan,154,181,335,36,50,86,5,17,6
Flower Deafness,1999,Interior,Thompson Cariboo Shuswap,154,181,335,36,50,86,10,14,12
Flower Deafness,1999,Fraser,Fraser East,154,181,335,21,35,56,9,17,10
Flower Deafness,1999,Fraser,Fraser North,154,181,335,21,35,56,5,11,6
Flower Deafness,1999,Fraser,Fraser South,154,181,335,21,35,56,7,7,6
Flower Deafness,1999,Vancouver Coastal,Richmond,154,181,335,31,22,53,10,10,11
Flower Deafness,1999,Vancouver Coastal,Vancouver,154,181,335,31,22,53,10,6,13
Flower Deafness,1999,Vancouver Coastal,North Shore/Coast Garibaldi,154,181,335,31,22,53,11,6,10
Flower Deafness,1999,Vancouver Island,South Vancouver Island,154,181,335,31,41,72,12,7,17
Flower Deafness,1999,Vancouver Island,Central Vancouver Island,154,181,335,31,41,72,12,17,12
Flower Deafness,1999,Vancouver Island,North Vancouver Island,154,181,335,31,41,72,7,17,16
Flower Deafness,1999,Northern,Northwest,154,181,335,35,33,68,12,12,7
Flower Deafness,1999,Northern,Northern Interior,154,181,335,35,33,68,8,13,8
Flower Deafness,1999,Northern,Northeast,154,181,335,35,33,68,15,8,7
Flower Deafness,2000,Interior,East Kootenay,150,120,270,29,28,57,3,10,4
Flower Deafness,2000,Interior,Kootenay Boundary,150,120,270,29,28,57,13,7,10
Flower Deafness,2000,Interior,Okanagan,150,120,270,29,28,57,5,4,14
Flower Deafness,2000,Interior,Thompson Cariboo Shuswap,150,120,270,29,28,57,8,7,11
Flower Deafness,2000,Fraser,Fraser East,150,120,270,35,9,44,7,4,15
Flower Deafness,2000,Fraser,Fraser North,150,120,270,35,9,44,14,3,10
Flower Deafness,2000,Fraser,Fraser South,150,120,270,35,9,44,14,2,13
Flower Deafness,2000,Vancouver Coastal,Richmond,150,120,270,34,36,70,15,11,7
Flower Deafness,2000,Vancouver Coastal,Vancouver,150,120,270,34,36,70,4,15,12
Flower Deafness,2000,Vancouver Coastal,North Shore/Coast Garibaldi,150,120,270,34,36,70,15,10,9
Flower Deafness,2000,Vancouver Island,South Vancouver Island,150,120,270,22,21,43,2,7,7
Flower Deafness,2000,Vancouver Island,Central Vancouver Island,150,120,270,22,21,43,7,7,9
Flower Deafness,2000,Vancouver Island,North Vancouver Island,150,120,270,22,21,43,13,7,12
Flower Deafness,2000,Northern,Northwest,150,120,270,30,26,56,5,10,2
Flower Deafness,2000,Northern,Northern Interior,150,120,270,30,26,56,13,13,6
Flower Deafness,2000,Northern,Northeast,150,120,270,30,26,56,12,3,5
Flower Deafness,2001,Interior,East Kootenay,150,172,322,38,49,87,5,14,13
Flower Deafness,2001,Interior,Kootenay Boundary,150,172,322,38,49,87,11,5,5
Flower Deafness,2001,Interior,Okanagan,150,172,322,38,49,87,11,16,9
Flower Deafness,2001,Interior,Thompson Cariboo Shuswap,150,172,322,38,49,87,11,14,14
Flower Deafness,2001,Fraser,Fraser East,150,172,322,27,31,58,12,9,13
Flower Deafness,2001,Fraser,Fraser North,150,172,322,27,31,58,8,11,9
Flower Deafness,2001,Fraser,Fraser South,150,172,322,27,31,58,7,11,11
Flower Deafness,2001,Vancouver Coastal,Richmond,150,172,322,32,31,63,7,10,9
Flower Deafness,2001,Vancouver Coastal,Vancouver,150,172,322,32,31,63,15,13,6
Flower Deafness,2001,Vancouver Coastal,North Shore/Coast Garibaldi,150,172,322,32,31,63,10,8,7
Flower Deafness,2001,Vancouver Island,South Vancouver Island,150,172,322,29,35,64,13,16,15
Flower Deafness,2001,Vancouver Island,Central Vancouver Island,150,172,322,29,35,64,11,6,10
Flower Deafness,2001,Vancouver Island,North Vancouver Island,150,172,322,29,35,64,5,13,8
Flower Deafness,2001,Northern,Northwest,150,172,322,24,26,50,10,6,12
Flower Deafness,2001,Northern,Northern Interior,150,172,322,24,26,50,7,11,6
Flower Deafness,2001,Northern,Northeast,150,172,322,24,26,50,7,9,10
Flower Deafness,2002,Interior,East Kootenay,150,143,293,37,30,67,5,9,7
Flower Deafness,2002,Interior,Kootenay Boundary,150,143,293,37,30,67,11,9,14
Flower Deafness,2002,Interior,Okanagan,150,143,293,37,30,67,13,6,5
Flower Deafness,2002,Interior,Thompson Cariboo Shuswap,150,143,293,37,30,67,8,6,10
Flower Deafness,2002,Fraser,Fraser East,150,143,293,31,21,52,13,8,5
Flower Deafness,2002,Fraser,Fraser North,150,143,293,31,21,52,7,10,4
Flower Deafness,2002,Fraser,Fraser South,150,143,293,31,21,52,11,3,7
Flower Deafness,2002,Vancouver Coastal,Richmond,150,143,293,36,33,69,11,14,8
Flower Deafness,2002,Vancouver Coastal,Vancouver,150,143,293,36,33,69,13,10,15
Flower Deafness,2002,Vancouver Coastal,North Shore/Coast Garibaldi,150,143,293,36,33,69,12,9,10
Flower Deafness,2002,Vancouver Island,South Vancouver Island,150,143,293,24,28,52,11,12,14
Flower Deafness,2002,Vancouver Island,Central Vancouver Island,150,143,293,24,28,52,8,9,6
Flower Deafness,2002,Vancouver Island,North Vancouver Island,150,143,293,24,28,52,5,7,13
Flower Deafness,2002,Northern,Northwest,150,143,293,22,31,53,6,12,13
Flower Deafness,2002,Northern,Northern Interior,150,143,293,22,31,53,11,4,7
Flower Deafness,2002,Northern,Northeast,150,143,293,22,31,53,5,15,10
Flower Deafness,2003,Interior,East Kootenay,142,160,302,56,41,97,15,11,13
Flower Deafness,2003,Interior,Kootenay Boundary,142,160,302,56,41,97,16,7,9
Flower Deafness,2003,Interior,Okanagan,142,160,302,56,41,97,9,8,6
Flower Deafness,2003,Interior,Thompson Cariboo Shuswap,142,160,302,56,41,97,16,15,13
Flower Deafness,2003,Fraser,Fraser East,142,160,302,20,37,57,6,8,9
Flower Deafness,2003,Fraser,Fraser North,142,160,302,20,37,57,6,12,2
Flower Deafness,2003,Fraser,Fraser South,142,160,302,20,37,57,8,17,14
Flower Deafness,2003,Vancouver Coastal,Richmond,142,160,302,16,26,42,3,9,16
Flower Deafness,2003,Vancouver Coastal,Vancouver,142,160,302,16,26,42,4,5,16
Flower Deafness,2003,Vancouver Coastal,North Shore/Coast Garibaldi,142,160,302,16,26,42,9,12,5
Flower Deafness,2003,Vancouver Island,South Vancouver Island,142,160,302,30,21,51,7,12,5
Flower Deafness,2003,Vancouver Island,Central Vancouver Island,142,160,302,30,21,51,5,2,4
Flower Deafness,2003,Vancouver Island,North Vancouver Island,142,160,302,30,21,51,18,7,3
Flower Deafness,2003,Northern,Northwest,142,160,302,20,35,55,9,5,15
Flower Deafness,2003,Northern,Northern Interior,142,160,302,20,35,55,2,12,2
Flower Deafness,2003,Northern,Northeast,142,160,302,20,35,55,9,18,10
Flower Deafness,2004,Interior,East Kootenay,145,171,316,47,29,76,12,4,4
Flower Deafness,2004,Interior,Kootenay Boundary,145,171,316,47,29,76,15,9,9
Flower Deafness,2004,Interior,Okanagan,145,171,316,47,29,76,15,13,12
Flower Deafness,2004,Interior,Thompson Cariboo Shuswap,145,171,316,47,29,76,5,3,12
Flower Deafness,2004,Fraser,Fraser East,145,171,316,32,41,73,6,9,15
Flower Deafness,2004,Fraser,Fraser North,145,171,316,32,41,73,12,16,3
Flower Deafness,2004,Fraser,Fraser South,145,171,316,32,41,73,14,16,8
Flower Deafness,2004,Vancouver Coastal,Richmond,145,171,316,24,37,61,13,16,12
Flower Deafness,2004,Vancouver Coastal,Vancouver,145,171,316,24,37,61,4,6,10
Flower Deafness,2004,Vancouver Coastal,North Shore/Coast Garibaldi,145,171,316,24,37,61,7,15,4
Flower Deafness,2004,Vancouver Island,South Vancouver Island,145,171,316,14,34,48,5,5,11
Flower Deafness,2004,Vancouver Island,Central Vancouver Island,145,171,316,14,34,48,6,15,7
Flower Deafness,2004,Vancouver Island,North Vancouver Island,145,171,316,14,34,48,3,14,8
Flower Deafness,2004,Northern,Northwest,145,171,316,28,30,58,7,15,3
Flower Deafness,2004,Northern,Northern Interior,145,171,316,28,30,58,16,6,11
Flower Deafness,2004,Northern,Northeast,145,171,316,28,30,58,5,9,16
Flower Deafness,2005,Interior,East Kootenay,223,195,418,62,32,94,9,19,13
Flower Deafness,2005,Interior,Kootenay Boundary,223,195,418,62,32,94,20,7,7
Flower Deafness,2005,Interior,Okanagan,223,195,418,62,32,94,11,4,17
Flower Deafness,2005,Interior,Thompson Cariboo Shuswap,223,195,418,62,32,94,22,2,10
Flower Deafness,2005,Fraser,Fraser East,223,195,418,24,56,80,9,23,3
Flower Deafness,2005,Fraser,Fraser North,223,195,418,24,56,80,5,9,11
Flower Deafness,2005,Fraser,Fraser South,223,195,418,24,56,80,10,24,21
Flower Deafness,2005,Vancouver Coastal,Richmond,223,195,418,58,30,88,22,11,15
Flower Deafness,2005,Vancouver Coastal,Vancouver,223,195,418,58,30,88,15,13,17
Flower Deafness,2005,Vancouver Coastal,North Shore/Coast Garibaldi,223,195,418,58,30,88,21,6,7
Flower Deafness,2005,Vancouver Island,South Vancouver Island,223,195,418,36,47,83,21,14,21
Flower Deafness,2005,Vancouver Island,Central Vancouver Island,223,195,418,36,47,83,13,22,5
Flower Deafness,2005,Vancouver Island,North Vancouver Island,223,195,418,36,47,83,2,11,16
Flower Deafness,2005,Northern,Northwest,223,195,418,43,30,73,6,12,3
Flower Deafness,2005,Northern,Northern Interior,223,195,418,43,30,73,24,4,2
Flower Deafness,2005,Northern,Northeast,223,195,418,43,30,73,13,14,7
Flower Deafness,2006,Interior,East Kootenay,191,157,348,48,55,103,12,18,14
Flower Deafness,2006,Interior,Kootenay Boundary,191,157,348,48,55,103,10,14,5
Flower Deafness,2006,Interior,Okanagan,191,157,348,48,55,103,17,11,2
Flower Deafness,2006,Interior,Thompson Cariboo Shuswap,191,157,348,48,55,103,9,12,10
Flower Deafness,2006,Fraser,Fraser East,191,157,348,33,28,61,16,4,8
Flower Deafness,2006,Fraser,Fraser North,191,157,348,33,28,61,7,11,9
Flower Deafness,2006,Fraser,Fraser South,191,157,348,33,28,61,10,13,2
Flower Deafness,2006,Vancouver Coastal,Richmond,191,157,348,40,33,73,17,16,18
Flower Deafness,2006,Vancouver Coastal,Vancouver,191,157,348,40,33,73,8,13,4
Flower Deafness,2006,Vancouver Coastal,North Shore/Coast Garibaldi,191,157,348,40,33,73,15,4,17
Flower Deafness,2006,Vancouver Island,South Vancouver Island,191,157,348,26,11,37,13,3,9
Flower Deafness,2006,Vancouver Island,Central Vancouver Island,191,157,348,26,11,37,9,2,5
Flower Deafness,2006,Vancouver Island,North Vancouver Island,191,157,348,26,11,37,4,6,7
Flower Deafness,2006,Northern,Northwest,191,157,348,44,30,74,17,5,5
Flower Deafness,2006,Northern,Northern Interior,191,157,348,44,30,74,13,13,12
Flower Deafness,2006,Northern,Northeast,191,157,348,44,30,74,14,12,12
Flower Deafness,2007,Interior,East Kootenay,185,173,358,45,40,85,17,13,12
Flower Deafness,2007,Interior,Kootenay Boundary,185,173,358,45,40,85,5,11,10
Flower Deafness,2007,Interior,Okanagan,185,173,358,45,40,85,15,9,21
Flower Deafness,2007,Interior,Thompson Cariboo Shuswap,185,173,358,45,40,85,8,7,8
Flower Deafness,2007,Fraser,Fraser East,185,173,358,40,27,67,17,11,16
Flower Deafness,2007,Fraser,Fraser North,185,173,358,40,27,67,10,8,5
Flower Deafness,2007,Fraser,Fraser South,185,173,358,40,27,67,13,8,16
Flower Deafness,2007,Vancouver Coastal,Richmond,185,173,358,32,23,55,16,11,10
Flower Deafness,2007,Vancouver Coastal,Vancouver,185,173,358,32,23,55,8,7,14
Flower Deafness,2007,Vancouver Coastal,North Shore/Coast Garibaldi,185,173,358,32,23,55,8,5,16
Flower Deafness,2007,Vancouver Island,South Vancouver Island,185,173,358,33,35,68,5,18,16
Flower Deafness,2007,Vancouver Island,Central Vancouver Island,185,173,358,33,35,68,8,6,13
Flower Deafness,2007,Vancouver Island,North Vancouver Island,185,173,358,33,35,68,20,11,22
Flower Deafness,2007,Northern,Northwest,185,173,358,35,48,83,10,20,6
Flower Deafness,2007,Northern,Northern Interior,185,173,358,35,48,83,17,14,9
Flower Deafness,2007,Northern,Northeast,185,173,358,35,48,83,8,14,17
Flower Deafness,2008,Interior,East Kootenay,248,191,439,67,54,121,15,7,18
Flower Deafness,2008,Interior,Kootenay Boundary,248,191,439,67,54,121,17,17,19
Flower Deafness,2008,Interior,Okanagan,248,191,439,67,54,121,23,11,8
Flower Deafness,2008,Interior,Thompson Cariboo Shuswap,248,191,439,67,54,121,12,19,14
Flower Deafness,2008,Fraser,Fraser East,248,191,439,43,34,77,16,4,16
Flower Deafness,2008,Fraser,Fraser North,248,191,439,43,34,77,8,19,13
Flower Deafness,2008,Fraser,Fraser South,248,191,439,43,34,77,19,11,4
Flower Deafness,2008,Vancouver Coastal,Richmond,248,191,439,35,33,68,4,13,14
Flower Deafness,2008,Vancouver Coastal,Vancouver,248,191,439,35,33,68,17,12,8
Flower Deafness,2008,Vancouver Coastal,North Shore/Coast Garibaldi,248,191,439,35,33,68,14,8,13
Flower Deafness,2008,Vancouver Island,South Vancouver Island,248,191,439,50,40,90,11,15,22
Flower Deafness,2008,Vancouver Island,Central Vancouver Island,248,191,439,50,40,90,20,9,22
Flower Deafness,2008,Vancouver Island,North Vancouver Island,248,191,439,50,40,90,19,16,18
Flower Deafness,2008,Northern,Northwest,248,191,439,53,30,83,18,8,14
Flower Deafness,2008,Northern,Northern Interior,248,191,439,53,30,83,19,4,9
Flower Deafness,2008,Northern,Northeast,248,191,439,53,30,83,16,18,17
Flower Deafness,2009,Interior,East Kootenay,161,183,344,56,54,110,16,17,18
Flower Deafness,2009,Interior,Kootenay Boundary,161,183,344,56,54,110,16,17,6
Flower Deafness,2009,Interior,Okanagan,161,183,344,56,54,110,16,10,2
Flower Deafness,2009,Interior,Thompson Cariboo Shuswap,161,183,344,56,54,110,8,10,17
Flower Deafness,2009,Fraser,Fraser East,161,183,344,23,27,50,10,13,9
Flower Deafness,2009,Fraser,Fraser North,161,183,344,23,27,50,6,6,16
Flower Deafness,2009,Fraser,Fraser South,161,183,344,23,27,50,7,8,19
Flower Deafness,2009,Vancouver Coastal,Richmond,161,183,344,31,26,57,8,11,7
Flower Deafness,2009,Vancouver Coastal,Vancouver,161,183,344,31,26,57,11,6,13
Flower Deafness,2009,Vancouver Coastal,North Shore/Coast Garibaldi,161,183,344,31,26,57,12,9,9
Flower Deafness,2009,Vancouver Island,South Vancouver Island,161,183,344,21,32,53,2,12,15
Flower Deafness,2009,Vancouver Island,Central Vancouver Island,161,183,344,21,32,53,13,6,9
Flower Deafness,2009,Vancouver Island,North Vancouver Island,161,183,344,21,32,53,6,14,12
Flower Deafness,2009,Northern,Northwest,161,183,344,30,44,74,7,14,17
Flower Deafness,2009,Northern,Northern Interior,161,183,344,30,44,74,15,14,15
Flower Deafness,2009,Northern,Northeast,161,183,344,30,44,74,8,16,2
Flower Deafness,2010,Interior,East Kootenay,192,196,388,38,38,76,11,9,17
Flower Deafness,2010,Interior,Kootenay Boundary,192,196,388,38,38,76,15,5,14
Flower Deafness,2010,Interior,Okanagan,192,196,388,38,38,76,5,6,10
Flower Deafness,2010,Interior,Thompson Cariboo Shuswap,192,196,388,38,38,76,7,18,12
Flower Deafness,2010,Fraser,Fraser East,192,196,388,31,49,80,7,16,19
Flower Deafness,2010,Fraser,Fraser North,192,196,388,31,49,80,13,16,6
Flower Deafness,2010,Fraser,Fraser South,192,196,388,31,49,80,11,17,18
Flower Deafness,2010,Vancouver Coastal,Richmond,192,196,388,50,33,83,20,6,18
Flower Deafness,2010,Vancouver Coastal,Vancouver,192,196,388,50,33,83,13,12,13
Flower Deafness,2010,Vancouver Coastal,North Shore/Coast Garibaldi,192,196,388,50,33,83,17,15,17
Flower Deafness,2010,Vancouver Island,South Vancouver Island,192,196,388,40,34,74,8,12,14
Flower Deafness,2010,Vancouver Island,Central Vancouver Island,192,196,388,40,34,74,12,17,19
Flower Deafness,2010,Vancouver Island,North Vancouver Island,192,196,388,40,34,74,20,5,19
Flower Deafness,2010,Northern,Northwest,192,196,388,33,42,75,9,19,19
Flower Deafness,2010,Northern,Northern Interior,192,196,388,33,42,75,13,16,16
Flower Deafness,2010,Northern,Northeast,192,196,388,33,42,75,11,7,18
Flower Deafness,2011,Interior,East Kootenay,133,134,267,22,39,61,5,7,7
Flower Deafness,2011,Interior,Kootenay Boundary,133,134,267,22,39,61,5,9,8
Flower Deafness,2011,Interior,Okanagan,133,134,267,22,39,61,6,15,5
Flower Deafness,2011,Interior,Thompson Cariboo Shuswap,133,134,267,22,39,61,6,8,7
Flower Deafness,2011,Fraser,Fraser East,133,134,267,34,26,60,6,13,6
Flower Deafness,2011,Fraser,Fraser North,133,134,267,34,26,60,13,8,7
Flower Deafness,2011,Fraser,Fraser South,133,134,267,34,26,60,15,5,5
Flower Deafness,2011,Vancouver Coastal,Richmond,133,134,267,32,26,58,13,6,5
Flower Deafness,2011,Vancouver Coastal,Vancouver,133,134,267,32,26,58,8,8,11
Flower Deafness,2011,Vancouver Coastal,North Shore/Coast Garibaldi,133,134,267,32,26,58,11,12,10
Flower Deafness,2011,Vancouver Island,South Vancouver Island,133,134,267,22,17,39,6,8,7
Flower Deafness,2011,Vancouver Island,Central Vancouver Island,133,134,267,22,17,39,10,4,15
Flower Deafness,2011,Vancouver Island,North Vancouver Island,133,134,267,22,17,39,6,5,12
Flower Deafness,2011,Northern,Northwest,133,134,267,23,26,49,7,10,12
Flower Deafness,2011,Northern,Northern Interior,133,134,267,23,26,49,7,11,4
Flower Deafness,2011,Northern,Northeast,133,134,267,23,26,49,9,5,5
Flower Deafness,2012,Interior,East Kootenay,181,248,429,42,46,88,5,20,23
Flower Deafness,2012,Interior,Kootenay Boundary,181,248,429,42,46,88,8,14,11
